100mg	267 410 371 435
+500mg	371 410 475 435
SL:	782 410 827 430
5	827 410 872 430
Viên	872 410 917 430
Ghi	44 432 100 456
chú	100 432 155 456
Uống:	155 432 210 456
Cộng	43 463 97 480
khoản:	97 463 151 480
2	151 463 205 480
khoản	205 463 259 480
Lời	43 485 85 502
dặn	85 485 127 502
đơn	127 485 169 502
thuốc:	169 485 211 502
Ngày	43 510 86 528
hẹn	86 510 130 528
tái	130 510 173 528
khám:	173 510 217 528
Ngày	636 542 726 560
27/12/2018	726 542 815 560
Bệnh	85 560 128 577
nhân	128 560 172 577
ký	172 560 215 577
nhận	215 560 259 577
Y,	650 566 680 585
Bác	680 566 710 585
sĩ	710 566 740 585
điều	740 566 771 585
trị	771 566 801 585
YS.	590 633 655 660
Nguyễn	655 633 719 660
Hồng	719 633 784 660
Phong	784 633 848 660
Tái	43 688 88 708
khám	88 688 132 708
xin	132 688 177 708
mang	177 688 222 708
theo	222 688 267 708
đơn,	267 688 311 708
xét	311 688 356 708
nghiệm,	356 688 401 708
phim	401 688 446 708
(nếu	446 688 490 708
có)	490 688 535 708
03/06/2021	771 726 865 742
11:31:48	865 726 960 742

1/1	76 26 148 54
Số	489 85 560 114
phiếu	560 85 631 114
2219/2018	631 85 702 114
4730716	823 93 905 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	815 149 861 165
Nữ	901 149 931 165
DN	243 193 282 210
35	394 193 423 210
35	481 193 509 210
140	573 193 615 210
25610	669 193 736 210
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 280 235
Huyết	280 216 339 235
áp:	339 216 398 235
Mạch:	36 218 96 233
Cận	36 237 78 256
lâm	78 237 121 256
sàng:	121 237 163 256
Chấn	36 254 71 274
đoán:	71 254 105 274
S61	105 254 139 274
-	139 254 173 274
Vết	173 254 207 274
thương	207 254 242 274
hờ	242 254 276 274
ở	276 254 310 274
cố	310 254 344 274
tay	344 254 378 274
và	378 254 413 274
bàn	413 254 447 274
tay	447 254 481 274
/	481 254 515 274
rách	515 254 550 274
da	550 254 584 274
lòng	584 254 618 274
abnf	618 254 652 274
tay	652 254 686 274
trái	686 254 721 274
dài	721 254 755 274
3cm	755 254 789 274
1)	60 360 167 385
CEFADROXIL	167 360 273 385
500MG	273 360 380 385
500mg	380 360 486 385
SL:	782 361 831 382
20	831 361 880 382
Viên	880 361 928 382
Ghi	44 384 100 407
chú	100 384 155 407
Uống:	155 384 210 407
2)	57 409 157 435
KATRYPSIN	157 409 257 435
4,2mg	257 409 357 435
SL:	782 410 831 430
20	831 410 880 430
Viên	880 410 928 430
Ghi	44 432 100 456
chú	100 432 155 456
Uống:	155 432 210 456
3)	59 457 175 484
PARACETAMOL	175 457 290 484
500MG	290 457 406 484
500mg	406 457 522 484
SL:	782 458 831 479
10	831 458 880 479
Viên	880 458 928 479
Ghi	44 481 100 504
chú	100 481 155 504
Uống:	155 481 210 504
4)	60 505 132 532
C1000	132 505 205 532
FLOODE	205 505 277 532
1g	277 505 350 532
SL:	782 507 827 528
5	827 507 872 528
Viên	872 507 917 528
Ghi	44 528 100 553
chú	100 528 155 553
Uống:	155 528 210 553
Cộng	43 560 97 579
khoản:	97 560 151 579
4	151 560 205 579
khoản	205 560 259 579
Lời	43 582 82 600
dặn	82 582 122 600
đơn	122 582 161 600
thuốc:	161 582 201 600
0	201 582 240 600
Ngày	43 607 86 626
hẹn	86 607 130 626
tái	130 607 173 626
khám:	173 607 217 626
Ngày	636 642 726 658
03/07/2018	726 642 815 658
Bệnh	85 657 128 674
nhân	128 657 172 674
ký	172 657 215 674
nhận	215 657 259 674
Y,	650 665 680 684
Bác	680 665 710 684
sĩ	710 665 740 684
điều	740 665 771 684
trị	771 665 801 684
YS.	590 732 655 757
Nguyễn	655 732 719 757
Hồng	719 732 784 757
Phong	784 732 848 757
Tái	43 785 88 806
khám	88 785 132 806
xin	132 785 177 806
mang	177 785 222 806
theo	222 785 267 806
đơn,	267 785 311 806
xét	311 785 356 806
nghiệm,	356 785 401 806
phim	401 785 446 806
(nếu	446 785 490 806
có)	490 785 535 806
10/06/2021	773 824 867 840
21:16:55	867 824 960 840

1/1	76 26 148 54
PK	34 83 69 104
Số	69 83 105 104
5.1	105 83 140 104
[TĐ]	140 83 176 104
Số	489 85 565 113
phiếu	565 85 642 113
60471/2019	642 85 718 113
4715304	823 94 905 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	815 149 861 165
Nữ	901 149 931 165
HT	246 193 281 210
35	394 193 423 210
35	481 193 509 209
207	573 193 613 210
79474	672 193 736 210
3	327 194 344 209
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 281 235
Huyết	281 216 342 235
áp:	342 216 402 235
Mạch:	36 219 96 233
Cận	36 238 86 256
lâm	86 238 136 256
sàng:	136 238 186 256
Đo	186 238 236 256
hoạt	236 238 286 256
độ	286 238 336 256
ALT	336 238 386 256
(GPT)	386 238 436 256
(Máu),	436 238 486 256
Đo	486 238 536 256
hoạt	536 238 586 256
độ	586 238 636 256
AST	636 238 686 256
(GOT)	686 238 736 256
(Máu),	736 238 786 256
Định	786 238 836 256
lượng	836 238 886 256
Cholesterol	886 238 936 256
toàn	34 256 93 274
phần	93 256 152 274
(máu),	152 256 211 274
Định	211 256 271 274
lượng	271 256 330 274
Creatinin	330 256 389 274
(máu),	389 256 448 274
Định	448 256 507 274
lượng	507 256 567 274
Glucose	567 256 626 274
(Máu),	626 256 685 274
Định	685 256 744 274
lượng	744 256 803 274
HbAIc	803 256 863 274
(Máu)	863 256 922 274
Định	36 274 106 293
lượng	106 274 176 293
HDL-C	176 274 246 293
(High	246 274 315 293
density	315 274 385 293
lipoprotein	385 274 455 293
Cholesterol)	455 274 525 293
(Máu),	525 274 594 293
Định	594 274 664 293
lượng	664 274 734 293
Triglycerid	734 274 803 293
(máu)	803 274 873 293
(Máu)	873 274 943 293
Định	36 291 84 310
lượng	84 291 131 310
Urê	131 291 178 310
máu	178 291 226 310
[Máu],	226 291 273 310
Tổng	273 291 321 310
phân	321 291 368 310
tích	368 291 415 310
nước	415 291 463 310
tiểu	463 291 510 310
(Bằng	510 291 557 310
máy	557 291 605 310
tự	605 291 652 310
động);	652 291 700 310
Chấn	36 309 84 328
đoán:	84 309 131 328
E11	131 309 178 328
-	178 309 226 328
Bệnh	226 309 273 328
đái	273 309 321 328
tháo	321 309 368 328
đường	368 309 415 328
không	415 309 463 328
phụ	463 309 510 328
thuộc	510 309 557 328
insulin;	557 309 605 328
(110)	605 309 652 328
Tăng	652 309 700 328
huyết	700 309 747 328
áp	747 309 794 328
vô	794 309 842 328
căn	842 309 889 328
(nguyên	889 309 936 328
phát);	34 328 78 346
(N34)	78 328 123 346
Viêm	123 328 168 346
niệu	168 328 213 346
đạo	213 328 257 346
và	257 328 302 346
hội	302 328 347 346
chứng	347 328 392 346
niệu	392 328 436 346
đạo	436 328 481 346
1)	60 414 152 440
GLUCOFAST	152 414 244 440
500	244 414 336 440
500mg	336 414 428 440
SL:	782 416 831 437
64	831 416 880 437
Viên	880 416 928 437
Ghi	44 438 88 462
chú	88 438 131 462
Uống	131 438 175 462
sau	175 438 218 462
khi	218 438 261 462
ăn:	261 438 305 462
Chiều	676 440 715 457
1	715 440 755 457
Viên	755 440 794 457
Sáng	380 442 418 460
1	418 442 456 460
Viên	456 442 494 460
2)	59 463 127 488
LAZIBET	127 463 196 488
MR	196 463 264 488
60	264 463 332 488
60mg	332 463 401 488
SL:	782 465 831 485
32	831 465 880 485
Viên	880 465 928 485
Ghi	44 485 90 512
chú	90 485 136 512
Uống	136 485 182 512
trước	182 485 228 512
khi	228 485 275 512
ăn:	275 485 321 512
Sáng	380 489 418 509
1	418 489 456 509
Viên	456 489 494 509
3)	57 512 151 537
ENALAPRIL	151 512 244 537
5mg	244 512 338 537
SL:	782 514 831 533
32	831 514 880 533
Viên	880 514 928 533
Ghi	44 536 90 560
chú	90 536 136 560
Uống	136 536 182 560
trước	182 536 228 560
khi	228 536 275 560
ăn:	275 536 321 560
Sáng	380 540 418 558
1	418 540 456 558
Viên	456 540 494 558
4)	60 558 185 586
METRONIDAZOL	185 558 310 586
250mg	310 558 435 586
SL:	782 561 831 582
20	831 561 880 582
Viên	880 561 928 582
Ghi	44 585 88 609
chú	88 585 131 609
Uống	131 585 175 609
sau	175 585 218 609
khi	218 585 261 609
ăn:	261 585 305 609
Chiều	676 586 715 604
2	715 586 755 604
Viên	755 586 794 604
Sáng	380 588 418 607
2	418 588 456 607
Viên	456 588 494 607
Cộng	43 614 97 632
khoản:	97 614 151 632
4	151 614 205 632
khoản	205 614 259 632
Lời	43 635 85 654
dặn	85 635 127 654
đơn	127 635 169 654
thuốc:	169 635 211 654
Ngày	43 658 96 679
hẹn	96 658 148 679
tái	148 658 201 679
khám:	201 658 253 679
Thứ	253 658 306 679
hai,	306 658 359 679
28/10/2019	359 658 411 679
Ngày	636 694 726 712
26/09/2019	726 694 815 712
Bệnh	85 710 128 728
nhân	128 710 172 728
ký	172 710 215 728
nhận	215 710 259 728
Y,	650 716 680 737
Bác	680 716 710 737
sĩ	710 716 740 737
điều	740 716 771 737
trị	771 716 801 737
BS.	603 788 660 809
Hoàng	660 788 717 809
Thị	717 788 773 809
Hường	773 788 830 809
Tái	43 840 88 859
khám	88 840 132 859
xin	132 840 177 859
mang	177 840 222 859
theo	222 840 267 859
đơn,	267 840 311 859
xét	311 840 356 859
nghiệm,	356 840 401 859
phim	401 840 446 859
(nếu	446 840 490 859
có)	490 840 535 859
04/06/2021	771 877 865 893
10:42:39	865 877 960 893

1/1	76 26 148 54
PK	34 83 69 104
Số	69 83 105 104
5.1	105 83 140 104
[TĐ]	140 83 176 104
Số	489 85 564 114
phiếu	564 85 639 114
19411/2021	639 85 714 114
4669683	823 93 905 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	813 149 861 165
Nữ	901 149 931 165
35	481 193 509 209
207	573 193 613 210
35077	669 193 736 210
2	327 194 344 209
35	394 194 423 210
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 281 235
Huyết	281 216 342 235
áp:	342 216 402 235
Mạch:	36 219 96 233
Cận	36 235 78 256
lâm	78 235 121 256
sảng:	121 235 163 256
Định	163 235 205 256
lượng	205 235 247 256
Acid	247 235 289 256
Uric	289 235 331 256
(Máu),	331 235 373 256
Định	373 235 415 256
lượng	415 235 457 256
Glucose	457 235 500 256
(Máu),	500 235 542 256
Tổng	542 235 584 256
phân	584 235 626 256
tích	626 235 668 256
nước	668 235 710 256
tiểu	710 235 752 256
(Bằng	752 235 794 256
thủ	794 235 836 256
thị	836 235 878 256
thị	878 235 921 256
trị	921 235 963 256
máy	36 256 78 274
tự	78 256 121 274
động);	121 256 163 274
Chấn	36 271 82 293
đoán:	82 271 128 293
E78	128 271 175 293
-	175 271 221 293
Rối	221 271 267 293
loạn	267 271 313 293
chuyển	313 271 359 293
hóa	359 271 405 293
lipoprotein	405 271 451 293
và	451 271 497 293
tình	497 271 543 293
trạng	543 271 589 293
tăng	589 271 635 293
lipid	635 271 681 293
máu	681 271 727 293
khác;	727 271 773 293
(Ell)	773 271 819 293
Bệnh	819 271 865 293
đái	865 271 911 293
tháo	34 289 90 310
đường	90 289 147 310
không	147 289 203 310
phụ	203 289 260 310
thuộc	260 289 317 310
insuline;	317 289 373 310
(M1?)	373 289 430 310
Gút	430 289 486 310
(thống	486 289 543 310
phong)	543 289 600 310
1)	60 377 148 404
MILURIT	148 377 236 404
300mg	236 377 325 404
SL:	782 379 831 400
10	831 379 880 400
Viên	880 379 928 400
Ghi	44 400 88 425
chú	88 400 131 425
Uống	131 400 175 425
sau	175 400 218 425
khi	218 400 261 425
ăn:	261 400 305 425
Sáng	380 405 418 423
1	418 405 456 423
Viên	456 405 494 423
2)	57 427 159 452
GOUTCOLCIN	159 427 260 452
1mg	260 427 361 452
SL:	782 428 827 447
5	827 428 872 447
Viên	872 428 917 447
Ghi	44 450 88 474
chú	88 450 131 474
Uống	131 450 175 474
sau	175 450 218 474
khi	218 450 261 474
ăn:	261 450 305 474
Sáng	380 454 418 472
1	418 454 456 472
Viên	456 454 494 472
Cộng	43 480 97 498
khoản:	97 480 151 498
2	151 480 205 498
khoản	205 480 259 498
Lời	43 500 85 519
dặn	85 500 127 519
đơn	127 500 169 519
thuốc:	169 500 211 519
Ngày	43 528 86 546
hẹn	86 528 130 546
tái	130 528 173 546
khám:	173 528 217 546
Ngày	636 560 726 579
02/04/2021	726 560 815 579
Bệnh	85 577 128 594
nhân	128 577 172 594
kỳ	172 577 215 594
nhận	215 577 259 594
Y,	650 585 680 602
Bác	680 585 710 602
sĩ	710 585 740 602
điều	740 585 771 602
trị	771 585 801 602
BS.	623 653 671 673
Trần	671 653 718 673
Mạnh	718 653 765 673
Hà	765 653 813 673
Tái	43 703 88 727
khám	88 703 132 727
xin	132 703 177 727
mang	177 703 222 727
theo	222 703 267 727
đơn,	267 703 311 727
xét	311 703 356 727
nghiệm,	356 703 401 727
phim	401 703 446 727
(nếu	446 703 490 727
có)	490 703 535 727
16/05/2021	773 742 867 758
16:42:16	867 742 960 758

1/1	76 26 148 54
PK	34 83 68 105
SỐ	68 83 102 105
3	102 83 136 105
[NHI]	136 83 171 105
Số	489 85 564 114
phiếu	564 85 639 114
13213/2021	639 85 714 114
4752218	823 94 905 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	815 149 861 165
Nữ	901 149 931 165
CB	246 193 281 209
35	481 193 509 209
207	573 193 613 210
34078	669 193 736 210
2	327 194 344 209
35	394 194 423 210
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 280 235
Huyết	280 216 339 235
áp:	339 216 398 235
Mạch:	36 218 96 233
Cận	36 237 78 256
lâm	78 237 121 256
sàng:	121 237 163 256
Chẩn	36 252 80 274
đoán:	80 252 123 274
j42	123 252 167 274
-	167 252 210 274
Viêm	210 252 253 274
phế	253 252 297 274
quản	297 252 340 274
măn	340 252 384 274
tính	384 252 427 274
không	427 252 471 274
phân	471 252 514 274
loại	514 252 557 274
1)	60 360 140 385
INGARON	140 360 221 385
200	221 360 301 385
DST	301 360 381 385
200mg	381 360 461 385
SL:	782 361 831 382
14	831 361 880 382
Viên	880 361 928 382
Ghi	44 384 100 407
chú	100 384 155 407
Uống:	155 384 210 407
Chiều	676 386 715 404
1	715 386 755 404
Viên	755 386 794 404
Sáng	380 388 418 407
1	418 388 456 407
Viên	456 388 494 407
2)	57 409 157 435
PANACTOL	157 409 257 435
500mg	257 409 357 435
SL:	782 410 831 430
10	831 410 880 430
Viên	880 410 928 430
Ghi	44 432 100 456
chú	100 432 155 456
Uống:	155 432 210 456
Chiều	676 435 715 452
1	715 435 755 452
Viên	755 435 794 452
Sáng	380 437 418 456
1	418 437 456 456
Viên	456 437 494 456
3)	57 458 150 484
DIXIREIN	150 458 242 484
375mg	242 458 334 484
SL:	782 458 831 479
28	831 458 880 479
Viên	880 458 928 479
Ghi	44 481 100 504
chú	100 481 155 504
Uống:	155 481 210 504
Chiều	675 484 714 500
2	714 484 753 500
Viên	753 484 793 500
Sáng	380 485 418 504
2	418 485 456 504
Viên	456 485 494 504
4)	60 505 148 532
VIPREDNI	148 505 236 532
16MG	236 505 325 532
16mg	325 505 413 532
SL:	782 507 827 528
5	827 507 872 528
Viên	872 507 917 528
Ghi	44 528 100 553
chú	100 528 155 553
Uống:	155 528 210 553
Sáng	380 533 418 552
1	418 533 456 552
Viên	456 533 494 552
Cộng	43 560 97 579
khoản:	97 560 151 579
4	151 560 205 579
khoản	205 560 259 579
Lời	43 582 85 600
dặn	85 582 127 600
đơn	127 582 169 600
thuốc:	169 582 211 600
Ngày	43 607 86 626
hẹn	86 607 130 626
tái	130 607 173 626
khám:	173 607 217 626
Ngày	636 637 726 659
05/03/2021	726 637 815 659
Bệnh	85 657 128 674
nhân	128 657 172 674
ký	172 657 215 674
nhận	215 657 259 674
Y,	650 665 680 684
Bác	680 665 710 684
sĩ	710 665 740 684
điều	740 665 771 684
trị	771 665 801 684
BS.	606 732 663 757
Lương	663 732 719 757
Tiến	719 732 776 757
Dũng	776 732 832 757
Tái	43 785 88 806
khám	88 785 132 806
xin	132 785 177 806
mang	177 785 222 806
theo	222 785 267 806
đơn,	267 785 311 806
xét	311 785 356 806
nghiệm,	356 785 401 806
phim	401 785 446 806
(nếu	446 785 490 806
có)	490 785 535 806
05/05/2021	771 824 865 840
10:57:03	865 824 960 840

TYT	36 52 82 71
XÃ	82 52 128 71
CHÂN	128 52 175 71
LÝ	175 52 221 71
Số	489 85 560 114
phiếu	560 85 631 114
1436/2021	631 85 702 114
4781186	822 94 905 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	813 149 861 165
Nữ	901 149 931 165
HT	243 193 281 210
35	481 193 509 210
206	573 193 615 210
63959	672 193 736 210
2	327 194 344 209
35	394 194 423 210
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 280 235
Huyết	280 216 339 235
áp:	339 216 398 235
Mạch:	36 218 96 233
Cận	36 237 78 256
lâm	78 237 121 256
sàng:	121 237 163 256
Chấn	36 256 76 274
đoán:	76 256 115 274
K04	115 256 155 274
-	155 256 194 274
Bệnh	194 256 234 274
tủy	234 256 273 274
và	273 256 313 274
mô	313 256 352 274
quanh	352 256 392 274
chân	392 256 431 274
răng;	431 256 471 274
(N76)	471 256 510 274
Các	510 256 550 274
viêm	550 256 589 274
khác	589 256 628 274
của	628 256 668 274
âm	668 256 707 274
đạo	707 256 747 274
và	747 256 786 274
âm	786 256 826 274
hộ	826 256 865 274
1)	60 361 164 385
HAPENXIN	164 361 268 385
CAPSULES	268 361 372 385
0,5g	372 361 476 385
SL:	782 361 831 382
20	831 361 880 382
Viên	880 361 928 382
Ghi	44 383 100 408
chú	100 383 155 408
Uống:	155 383 210 408
Chiều	676 386 715 404
2	715 386 755 404
Viên	755 386 794 404
Sáng	380 388 418 407
2	418 388 456 407
Viên	456 388 494 407
2)	59 409 168 435
METRONIDAZOL	168 409 277 435
250	277 409 386 435
250mg	386 409 496 435
SL:	782 410 831 430
20	831 410 880 430
Viên	880 410 928 430
Ghi	44 432 100 456
chú	100 432 155 456
Uống:	155 432 210 456
Chiều	676 435 715 452
2	715 435 755 452
Viên	755 435 794 452
Sáng	380 437 418 456
2	418 437 456 456
Viên	456 437 494 456
3)	57 457 123 485
TYDOL	123 457 189 485
PM	189 457 255 485
500mg	255 457 321 485
+	321 457 386 485
25mg	386 457 452 485
SL:	782 458 831 479
10	831 458 880 479
Viên	880 458 928 479
Ghi	44 481 100 504
chú	100 481 155 504
Uống:	155 481 210 504
Chiều	675 484 714 500
1	714 484 753 500
Viên	753 484 793 500
Sáng	380 485 418 504
1	418 485 456 504
Viên	456 485 494 504
Cộng	43 512 97 530
khoản:	97 512 151 530
3	151 512 205 530
khoản	205 512 259 530
Lời	43 533 85 551
dặn	85 533 127 551
đơn	127 533 169 551
thuốc:	169 533 211 551
Ngày	43 558 86 575
hẹn	86 558 130 575
tái	130 558 173 575
khám:	173 558 217 575
Ngày	636 591 726 609
01/04/2021	726 591 815 609
Bệnh	85 609 128 626
nhân	128 609 172 626
ký	172 609 215 626
nhận	215 609 259 626
Y,	650 614 680 633
Bác	680 614 710 633
sĩ	710 614 740 633
điều	740 614 771 633
trị	771 614 801 633
DDTH.	560 684 623 704
TRẦN	623 684 686 704
THỊ	686 684 750 704
VÂN	750 684 813 704
ANH	813 684 876 704
Tái	43 736 88 757
khám	88 736 132 757
xin	132 736 177 757
mang	177 736 222 757
theo	222 736 267 757
đơn,	267 736 311 757
xét	311 736 356 757
nghiệm,	356 736 401 757
phim	401 736 446 757
(nếu	446 736 490 757
có)	490 736 535 757
15/05/2021	773 774 865 789
10:55:41	865 774 957 789

1/1	76 26 148 54
TRÀNG	203 54 259 71
AN	259 54 314 71
Số	489 85 560 113
phiếu	560 85 631 113
2975/2019	631 85 702 113
4662050	823 94 905 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	815 149 861 165
Nữ	901 149 931 165
BT	246 193 281 209
35	481 193 509 209
209	573 193 615 209
53492	669 193 736 210
2	327 194 344 209
35	394 194 423 210
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 280 235
Huyết	280 216 339 235
áp:	339 216 398 235
Mạch:	36 218 96 233
135	439 218 542 233
Cận	36 237 78 256
lâm	78 237 121 256
sàng:	121 237 163 256
Chấn	36 254 78 274
đoán:	78 254 121 274
[10	121 254 163 274
-	163 254 205 274
Tăng	205 254 247 274
huyết	247 254 289 274
áp	289 254 331 274
vô	331 254 373 274
căn	373 254 415 274
(nguyên	415 254 457 274
phát);	457 254 500 274
(L20)	500 254 542 274
Viêm	542 254 584 274
da	584 254 626 274
cơ	626 254 668 274
địa	668 254 710 274
dị	710 254 752 274
ứng;	752 254 794 274
(H81)	794 254 836 274
Rối	836 254 878 274
loạn	878 254 921 274
chức	34 271 78 294
năng	78 271 123 294
tiền	123 271 168 294
đình	168 271 213 294
1)	60 360 134 385
KAVASDIN	134 360 207 385
5	207 360 281 385
5mg	281 360 355 385
SL:	782 361 831 382
30	831 361 880 382
Viên	880 361 928 382
Ghi	44 384 100 407
chú	100 384 155 407
Uống:	155 384 210 407
Sáng	380 388 418 407
1	418 388 456 407
Viên	456 388 494 407
2)	59 409 184 435
CLORPHENIRAMIN	184 409 309 435
4mg	309 409 434 435
SL:	782 410 831 430
10	831 410 880 430
Viên	880 410 928 430
Ghi	44 432 96 456
chú	96 432 147 456
Uống	147 432 198 456
Chiều	675 435 715 452
1	715 435 756 452
Viên	756 435 797 452
Sáng	380 437 418 456
1	418 437 456 456
Viên	456 437 494 456
3)	59 456 159 484
HOẠT	159 456 259 484
HUYẾT	259 456 359 484
DƯỠNG	359 456 459 484
NÃO	459 456 559 484
150mg+20mg	559 456 659 484
SL:	782 458 831 479
20	831 458 880 479
Viên	880 458 928 479
Ghi	44 481 100 504
chú	100 481 155 504
Uống:	155 481 210 504
Chiều	675 484 714 500
2	714 484 753 500
Viên	753 484 793 500
Sáng	380 485 418 504
2	418 485 456 504
Viên	456 485 494 504
Cộng	43 512 97 530
khoản:	97 512 151 530
3	151 512 205 530
khoản	205 512 259 530
Lời	43 533 85 551
dặn	85 533 127 551
đơn	127 533 169 551
thuốc:	169 533 211 551
Ngày	43 558 86 575
hẹn	86 558 130 575
tái	130 558 173 575
khám:	173 558 217 575
Ngày	636 591 726 609
18/07/2019	726 591 815 609
Bệnh	85 609 128 626
nhân	128 609 172 626
ký	172 609 215 626
nhận	215 609 259 626
Y,	650 614 680 633
Bác	680 614 710 633
sĩ	710 614 740 633
điều	740 614 771 633
trị	771 614 801 633
BS.	627 684 672 704
Trần	672 684 717 704
Văn	717 684 761 704
Hải	761 684 806 704
Tái	43 736 88 757
khám	88 736 132 757
xin	132 736 177 757
mang	177 736 222 757
theo	222 736 267 757
đơn,	267 736 311 757
xét	311 736 356 757
nghiệm,	356 736 401 757
phim	401 736 446 757
(nếu	446 736 490 757
có)	490 736 535 757
14/05/2021	773 774 867 789
16:43:42	867 774 960 789

Điện	36 65 103 87
thoại:	103 65 170 87
ĐƠN	345 93 446 120
THUỐC	446 93 548 120
BHYT	548 93 650 120
Nữ	880 132 919 150
Cân	610 134 666 156
nặng	666 134 723 156
kg	723 134 780 156
nam	780 134 836 156
Chẩn	32 218 91 246
đoán:	91 218 150 246
N30	150 218 209 246
-	209 218 268 246
Viêm	268 218 327 246
bàng	327 218 386 246
quang;	386 218 446 246
(N20)	446 218 505 246
Sỏi	505 218 564 246
thận	564 218 623 246
và	623 218 682 246
niệu	682 218 741 246
quản	741 218 800 246
Thuốc	32 248 91 275
điều	91 248 150 275
trị:	150 248 209 275
1)	32 278 123 306
Amoxicilin	123 278 214 306
(Fabamox	214 278 306 306
500)	306 278 397 306
500mg	397 278 488 306
Uống:	245 321 302 345
Sáng	302 321 360 345
2	360 321 417 345
Viên	417 321 474 345
CHIều	474 321 532 345
2	532 321 589 345
Viên	589 321 646 345
SL:	36 325 80 341
20	80 325 125 341
Viên	125 325 169 341
2)	29 356 96 385
Kim	96 356 163 385
tiền	163 356 230 385
thảo,	230 356 297 385
râu	297 356 364 385
ngô	364 356 431 385
(Kim	431 356 498 385
tiền	498 356 565 385
thảo)	565 356 632 385
120mg+35mg	632 356 699 385
Uống:	245 401 303 428
Sáng	303 401 361 428
5	361 401 420 428
Viên	420 401 478 428
CHiều	478 401 536 428
5	536 401 594 428
Viên	594 401 653 428
SL:	36 404 85 421
100	85 404 133 421
Viên	133 404 182 421
3)	32 440 125 465
Drotaverin	125 440 218 465
clohydrat	218 440 311 465
(Dromasm	311 440 404 465
fort)	404 440 497 465
80mg	497 440 590 465
Uống:	245 482 303 507
Sáng	303 482 361 507
1	361 482 420 507
Viên	420 482 478 507
CHIều	478 482 536 507
1	536 482 594 507
Viên	594 482 653 507
SL:	36 484 80 503
20	80 484 125 503
Viên	125 484 169 503
Lời	36 525 86 543
dặn:	86 525 135 543
Ngày	562 550 617 576
31	617 550 672 576
tháng	672 550 726 576
12	726 550 781 576
năm	781 550 836 576
2021	836 550 891 576
Bác	590 580 646 605
sỹ/Y	646 580 701 605
sỹ	701 580 757 605
khám	757 580 813 605
bệnh	813 580 868 605
(Ký,	619 609 663 632
ghi	663 609 707 632
rõ	707 609 752 632
họ	752 609 796 632
tên)	796 609 840 632
BSCKI.	574 694 652 726
Nguyễn	652 694 729 726
Ngọc	729 694 806 726
Tri	806 694 884 726
Khám	53 728 108 750
lại	108 728 163 750
xin	163 728 218 750
mang	218 728 273 750
theo	273 728 327 750
đơn	327 728 382 750
này	382 728 437 750
Tên	53 757 108 782
bố	108 757 163 782
hoặc	163 757 218 782
mẹ	218 757 273 782
của	273 757 327 782
trẻ	327 757 382 782
hoặc	382 757 437 782
người	437 757 492 782
đưa	492 757 546 782
trẻ	546 757 601 782
đến	601 757 656 782
khám	656 757 711 782
bệnh,	711 757 766 782
chữa	766 757 820 782
bệnh	820 757 875 782

1/1	76 26 148 54
PK	34 83 69 104
Số	69 83 105 104
5.1	105 83 140 104
[TĐ]	140 83 176 104
Số	489 85 564 114
phiếu	564 85 639 114
26261/2021	639 85 714 114
4733894	823 93 905 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	815 149 861 165
Nữ	901 149 931 165
35	481 193 509 209
208	573 193 615 210
39103	669 193 736 210
35	394 194 423 210
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 280 235
Huyết	280 216 339 235
áp:	339 216 398 235
Mạch:	36 218 96 233
Cận	36 237 78 256
lâm	78 237 121 256
sàng:	121 237 163 256
Chẩn	36 256 84 274
đoán:	84 256 131 274
E11	131 256 178 274
-	178 256 226 274
Bệnh	226 256 273 274
đái	273 256 321 274
tháo	321 256 368 274
đường	368 256 415 274
không	415 256 463 274
phụ	463 256 510 274
thuộc	510 256 557 274
insuline	557 256 605 274
1)	60 360 159 385
MEGLUCON	159 360 257 385
1000	257 360 356 385
1000mg	356 360 455 385
SL:	782 361 831 382
72	831 361 880 382
Viên	880 361 928 382
Ghi	44 385 88 409
chú	88 385 131 409
Uống	131 385 175 409
sau	175 385 218 409
khi	218 385 261 409
ăn:	261 385 305 409
Chiều	675 386 714 404
1	714 386 753 404
